pp,video,dial,t_begin_s,t_mid_s,t_end_s,duration_s
2,7,3,10.6228,10.7594,10.8961,0.2733
2,7,4,10.9515,11.0979,11.2444,0.2929
2,7,4,11.2951,11.4454,11.5957,0.3006
2,7,1,11.6518,11.8109,11.9701,0.3183
2,7,1,12.0177,12.1852,12.3528,0.335
2,7,1,12.4053,12.5622,12.7192,0.314
2,7,5,12.7784,12.9255,13.0725,0.2941
2,7,4,13.1265,13.2679,13.4093,0.2828
2,7,6,13.4652,13.613,13.7608,0.2956
2,7,6,13.8138,13.9614,14.1089,0.295
2,7,3,14.1748,14.3165,14.4582,0.2833
2,7,1,14.5092,14.6604,14.8116,0.3024
2,7,1,14.8578,15.039,15.2202,0.3624
2,7,4,15.2784,15.4232,15.5681,0.2897
2,7,4,15.6265,15.7678,15.909,0.2825
2,7,1,15.9688,16.121,16.2732,0.3045
2,7,1,16.322,16.4804,16.6387,0.3166
2,7,1,16.6957,16.837,16.9783,0.2826
2,7,3,17.0383,17.1802,17.3221,0.2838
2,7,6,17.3758,17.5045,17.6332,0.2574
2,7,3,17.6872,17.829,17.9709,0.2837
2,7,3,18.021,18.1724,18.3238,0.3028
2,7,3,18.3813,18.5303,18.6793,0.298
2,7,3,18.736,18.8836,19.0312,0.2952
2,7,3,19.0889,19.2319,19.375,0.2861
2,7,6,19.4308,19.5739,19.7171,0.2863
2,7,5,19.7675,19.9085,20.0496,0.2821
2,7,4,20.1108,20.2525,20.3942,0.2834
2,7,2,20.454,20.6011,20.7483,0.2943
2,7,3,20.8061,20.9507,21.0953,0.2892
2,7,6,21.1522,21.2888,21.4255,0.2733
2,7,6,21.4801,21.6206,21.761,0.2808
2,7,3,21.8206,21.956,22.0915,0.2709
2,7,3,22.1396,22.2908,22.442,0.3024
2,7,6,22.4983,22.6416,22.785,0.2867
2,7,3,22.8407,22.9793,23.1179,0.2772
2,7,3,23.1649,23.3188,23.4728,0.3079
2,7,2,23.5312,23.6722,23.8132,0.282
2,7,1,23.8655,24.0147,24.164,0.2985
2,7,6,24.2165,24.359,24.5015,0.285
2,7,3,24.5467,24.7008,24.8549,0.3081
2,7,6,24.9083,25.0537,25.1992,0.2909
2,7,6,25.2566,25.3942,25.5318,0.2752
2,7,3,25.5914,25.7324,25.8734,0.2819
2,7,1,25.9231,26.0789,26.2346,0.3115
2,7,2,26.2856,26.4378,26.5901,0.3045
2,7,6,26.6419,26.7858,26.9297,0.2878
2,7,5,26.9825,27.1271,27.2716,0.2891
2,7,5,27.3283,27.4733,27.6183,0.29
2,7,1,27.6756,27.8214,27.9671,0.2916
2,7,3,28.0218,28.1626,28.3033,0.2814
2,7,3,28.36,28.4882,28.6164,0.2563
2,7,2,28.6743,28.8157,28.9571,0.2827
2,7,4,29.0086,29.1594,29.3102,0.3016
2,7,3,29.3692,29.5106,29.652,0.2828
2,7,3,29.701,29.8422,29.9833,0.2823
2,7,5,30.0394,30.1842,30.329,0.2895
2,7,4,30.3789,30.527,30.6752,0.2963
2,7,5,30.7334,30.8752,31.0169,0.2835
2,7,5,31.0733,31.2193,31.3653,0.292
2,7,4,31.4225,31.5699,31.7173,0.2948
2,7,1,31.7755,31.9214,32.0674,0.2919
2,7,3,32.1211,32.2574,32.3938,0.2727
2,7,3,32.4475,32.5734,32.6993,0.2518
